date,time,timestamp,status,count
11/1/2022,0:00,11/1/2022 0:00,approved,9
11/1/2022,0:00,11/1/2022 0:00,denied,6
11/1/2022,0:00,11/1/2022 0:00,refunded,1
11/1/2022,0:01,11/1/2022 0:01,denied,8
11/1/2022,0:01,11/1/2022 0:01,approved,13
11/1/2022,0:02,11/1/2022 0:02,refunded,1
11/1/2022,0:02,11/1/2022 0:02,approved,11
11/1/2022,0:02,11/1/2022 0:02,denied,7
11/1/2022,0:03,11/1/2022 0:03,denied,3
11/1/2022,0:03,11/1/2022 0:03,approved,12
11/1/2022,0:04,11/1/2022 0:04,approved,11
11/1/2022,0:05,11/1/2022 0:05,denied,2
11/1/2022,0:05,11/1/2022 0:05,approved,9
11/1/2022,0:06,11/1/2022 0:06,denied,2
11/1/2022,0:06,11/1/2022 0:06,approved,9
11/1/2022,0:07,11/1/2022 0:07,reversed,1
11/1/2022,0:07,11/1/2022 0:07,denied,1
11/1/2022,0:07,11/1/2022 0:07,approved,11
11/1/2022,0:08,11/1/2022 0:08,approved,7
11/1/2022,0:08,11/1/2022 0:08,denied,2
11/1/2022,0:09,11/1/2022 0:09,approved,9
11/1/2022,0:10,11/1/2022 0:10,denied,1
11/1/2022,0:10,11/1/2022 0:10,approved,10
11/1/2022,0:11,11/1/2022 0:11,approved,14
11/1/2022,0:11,11/1/2022 0:11,denied,2
11/1/2022,0:12,11/1/2022 0:12,approved,10
11/1/2022,0:13,11/1/2022 0:13,approved,11
11/1/2022,0:14,11/1/2022 0:14,approved,7
11/1/2022,0:15,11/1/2022 0:15,approved,6
11/1/2022,0:16,11/1/2022 0:16,approved,7
11/1/2022,0:17,11/1/2022 0:17,approved,7
11/1/2022,0:18,11/1/2022 0:18,approved,3
11/1/2022,0:19,11/1/2022 0:19,approved,7
11/1/2022,0:19,11/1/2022 0:19,denied,3
11/1/2022,0:19,11/1/2022 0:19,refunded,1
11/1/2022,0:20,11/1/2022 0:20,denied,1
11/1/2022,0:20,11/1/2022 0:20,approved,13
11/1/2022,0:21,11/1/2022 0:21,approved,6
11/1/2022,0:21,11/1/2022 0:21,denied,1
11/1/2022,0:22,11/1/2022 0:22,approved,3
11/1/2022,0:23,11/1/2022 0:23,approved,10
11/1/2022,0:23,11/1/2022 0:23,denied,2
11/1/2022,0:24,11/1/2022 0:24,approved,10
11/1/2022,0:24,11/1/2022 0:24,denied,1
11/1/2022,0:25,11/1/2022 0:25,approved,3
11/1/2022,0:26,11/1/2022 0:26,approved,7
11/1/2022,0:26,11/1/2022 0:26,denied,2
11/1/2022,0:27,11/1/2022 0:27,denied,2
11/1/2022,0:27,11/1/2022 0:27,approved,8
11/1/2022,0:28,11/1/2022 0:28,approved,11
11/1/2022,0:28,11/1/2022 0:28,denied,2
11/1/2022,0:29,11/1/2022 0:29,denied,1
11/1/2022,0:29,11/1/2022 0:29,approved,5
11/1/2022,0:30,11/1/2022 0:30,denied,2
11/1/2022,0:30,11/1/2022 0:30,approved,6
11/1/2022,0:31,11/1/2022 0:31,approved,8
